Date,Price,Open,High,Low,Vol.,Change %
17-Dec-18,"3,526.10","3,248.30","3,597.40","3,243.10",534.78K,8.57%
16-Dec-18,"3,247.90","3,228.60","3,305.00","3,225.90",335.69K,0.60%
15-Dec-18,"3,228.70","3,247.80","3,282.30","3,177.00",332.95K,-0.59%
14-Dec-18,"3,247.80","3,315.40","3,336.60","3,199.10",445.56K,-2.04%
13-Dec-18,"3,315.30","3,466.20","3,474.40","3,284.80",435.89K,-4.35%
12-Dec-18,"3,466.10","3,390.20","3,510.20","3,379.40",391.17K,1.72%
11-Dec-18,"3,407.70","3,460.40","3,485.90","3,349.90",418.53K,-1.53%
10-Dec-18,"3,460.50","3,566.90","3,622.40","3,412.70",394.49K,-3.00%
09-Dec-18,"3,567.50","3,430.30","3,677.60","3,424.20",327.93K,4.00%
08-Dec-18,"3,430.40","3,422.30","3,507.70","3,302.90",424.40K,0.24%
07-Dec-18,"3,422.20","3,508.90","3,626.60","3,251.80",639.33K,-2.46%
06-Dec-18,"3,508.60","3,771.40","3,887.20","3,505.70",467.54K,-6.97%
05-Dec-18,"3,771.60","3,958.10","3,974.10","3,765.20",341.60K,-4.72%
04-Dec-18,"3,958.50","3,899.90","4,082.90","3,809.30",326.71K,1.56%
03-Dec-18,"3,897.80","4,160.30","4,177.00","3,839.90",355.10K,-6.31%
02-Dec-18,"4,160.40","4,196.20","4,316.10","4,105.30",298.63K,-0.85%
01-Dec-18,"4,196.20","4,038.70","4,299.10","3,967.10",316.30K,3.87%
30-Nov-18,"4,039.70","4,296.80","4,340.60","3,954.50",444.52K,-5.98%
29-Nov-18,"4,296.50","4,265.50","4,440.10","4,140.60",414.46K,0.73%
28-Nov-18,"4,265.40","3,866.40","4,391.80","3,866.40",533.04K,10.32%
27-Nov-18,"3,866.50","3,840.30","3,920.60","3,687.80",457.27K,0.77%
26-Nov-18,"3,837.00","4,061.00","4,179.00","3,679.80",571.04K,-5.54%
25-Nov-18,"4,062.20","3,920.30","4,198.40","3,634.20",619.95K,3.62%
24-Nov-18,"3,920.40","4,397.30","4,494.60","3,821.50",382.72K,-10.86%
23-Nov-18,"4,398.00","4,360.90","4,455.60","4,223.70",348.99K,0.96%
22-Nov-18,"4,356.00","4,646.40","4,695.70","4,346.70",261.85K,-6.09%
21-Nov-18,"4,638.70","4,523.00","4,743.70","4,393.00",412.74K,2.52%
20-Nov-18,"4,524.60","4,883.60","5,013.40","4,272.30",714.08K,-7.36%
19-Nov-18,"4,883.80","5,660.40","5,662.50","4,831.10",478.26K,-13.69%
18-Nov-18,"5,658.30","5,621.00","5,727.90","5,615.50",158.68K,0.65%
17-Nov-18,"5,621.80","5,636.20","5,645.50","5,561.40",156.51K,-0.26%
16-Nov-18,"5,636.20","5,723.50","5,747.70","5,539.70",224.12K,-1.45%
15-Nov-18,"5,718.90","5,854.00","5,878.50","5,384.10",375.86K,-2.11%
14-Nov-18,"5,842.40","6,428.90","6,453.30","5,619.20",438.21K,-9.13%
13-Nov-18,"6,429.20","6,435.00","6,466.80","6,386.70",137.60K,-0.09%
12-Nov-18,"6,435.00","6,445.00","6,475.90","6,409.40",130.16K,-0.17%
11-Nov-18,"6,446.10","6,427.10","6,451.70","6,359.00",127.40K,0.30%
10-Nov-18,"6,427.10","6,411.90","6,461.70","6,411.70",115.87K,0.24%
09-Nov-18,"6,412.00","6,473.80","6,496.10","6,390.00",151.60K,-0.96%
08-Nov-18,"6,474.00","6,565.30","6,577.30","6,466.30",159.30K,-1.39%
07-Nov-18,"6,565.30","6,503.10","6,594.30","6,502.00",170.76K,0.96%
06-Nov-18,"6,502.80","6,460.40","6,509.60","6,441.60",154.87K,0.67%
05-Nov-18,"6,459.70","6,478.20","6,489.20","6,431.70",128.51K,-0.29%
04-Nov-18,"6,478.20","6,386.20","6,508.90","6,359.70",128.76K,1.44%
03-Nov-18,"6,386.20","6,424.50","6,429.50","6,346.20",112.84K,-0.60%
02-Nov-18,"6,424.70","6,400.50","6,444.30","6,390.90",135.87K,0.38%
01-Nov-18,"6,400.50","6,365.90","6,421.80","6,354.20",124.16K,0.54%
31-Oct-18,"6,365.90","6,327.90","6,405.70","6,257.80",129.06K,0.64%
30-Oct-18,"6,325.70","6,336.70","6,469.90","6,316.50",128.21K,-0.15%
29-Oct-18,"6,335.00","6,486.10","6,498.40","6,310.50",160.52K,-2.33%
28-Oct-18,"6,486.10","6,494.60","6,502.20","6,461.20",93.97K,-0.12%
27-Oct-18,"6,494.20","6,510.00","6,534.00","6,473.70",76.72K,-0.24%
26-Oct-18,"6,510.00","6,507.00","6,570.50","6,498.50",97.17K,0.05%
25-Oct-18,"6,507.00","6,532.50","6,544.80","6,491.50",97.43K,-0.36%
24-Oct-18,"6,530.70","6,531.20","6,593.80","6,522.60",98.74K,0.03%
